subject_name,feedback,original_sentiment,analyzed_sentiment,polarity,user_id,date,_id
Artificial Intelligence,amazing subject,positive,positive,0.21666666666666673,user733,2023-09-27,6825c0358f02958777a49984
Artificial Intelligence,amazing subject,positive,positive,0.21666666666666673,user276,2023-07-28,6825c0358f02958777a49985
Data Structures,subject okay,neutral,positive,0.16666666666666669,user636,2024-10-17,6825c0358f02958777a49986
Computer Networks,dont like subject,negative,negative,-0.16666666666666666,user182,2024-06-26,6825c0358f02958777a49987
Artificial Intelligence,love learning,positive,positive,0.5,user752,2023-02-25,6825c0358f02958777a49988
Computer Networks,amazing subject,positive,positive,0.21666666666666673,user767,2024-11-11,6825c0358f02958777a49989
Data Structures,love learning,positive,positive,0.5,user353,2023-10-14,6825c0358f02958777a4998a
Machine Learning,subject okay,neutral,positive,0.16666666666666669,user469,2023-02-23,6825c0358f02958777a4998b
Data Structures,bad great,neutral,positive,0.0500000000000001,user601,2023-03-30,6825c0358f02958777a4998c
Computer Networks,engaging,negative,positive,0.4,user217,2024-06-09,6825c0358f02958777a4998d
Machine Learning,dont like subject,negative,negative,-0.16666666666666666,user645,2024-02-01,6825c0358f02958777a4998e
Data Structures,interesting engaging,positive,positive,0.45,user570,2023-07-04,6825c0358f02958777a4998f
Machine Learning,difficult,negative,negative,-0.5,user142,2023-05-18,6825c0358f02958777a49990
Machine Learning,feel indifferent,neutral,neutral,0.0,user471,2024-10-20,6825c0358f02958777a49991
Data Structures,dont like subject,negative,negative,-0.16666666666666666,user833,2023-02-15,6825c0358f02958777a49992
DBMS,bad great,neutral,positive,0.0500000000000001,user153,2023-01-19,6825c0358f02958777a49993
Computer Networks,difficult,negative,negative,-0.5,user738,2023-01-02,6825c0358f02958777a49994
DBMS,subject okay,neutral,positive,0.16666666666666669,user663,2024-07-16,6825c0358f02958777a49995
Machine Learning,interesting engaging,positive,positive,0.45,user550,2024-04-02,6825c0358f02958777a49996
Machine Learning,engaging,negative,positive,0.4,user774,2023-10-11,6825c0358f02958777a49997
Data Structures,subject okay,neutral,positive,0.16666666666666669,user780,2024-02-10,6825c0358f02958777a49998
Artificial Intelligence,love learning,positive,positive,0.5,user650,2024-05-24,6825c0358f02958777a49999
DBMS,feel indifferent,neutral,neutral,0.0,user263,2024-01-15,6825c0358f02958777a4999a
Artificial Intelligence,difficult,negative,negative,-0.5,user223,2023-06-07,6825c0358f02958777a4999b
Machine Learning,bad great,neutral,positive,0.0500000000000001,user396,2024-05-07,6825c0358f02958777a4999c
Data Structures,dont like subject,negative,negative,-0.16666666666666666,user760,2024-06-09,6825c0358f02958777a4999d
Data Structures,subject okay,neutral,positive,0.16666666666666669,user812,2024-01-28,6825c0358f02958777a4999e
Machine Learning,bad great,neutral,positive,0.0500000000000001,user143,2023-07-12,6825c0358f02958777a4999f
Artificial Intelligence,subject okay,neutral,positive,0.16666666666666669,user913,2023-12-04,6825c0358f02958777a499a0
Artificial Intelligence,interesting engaging,positive,positive,0.45,user298,2023-05-06,6825c0358f02958777a499a1
Artificial Intelligence,interesting engaging,positive,positive,0.45,user296,2024-05-21,6825c0358f02958777a499a2
Data Structures,interesting engaging,positive,positive,0.45,user357,2024-04-01,6825c0358f02958777a499a3
Machine Learning,love learning,positive,positive,0.5,user460,2024-01-30,6825c0358f02958777a499a4
Artificial Intelligence,feel indifferent,neutral,neutral,0.0,user101,2024-09-27,6825c0358f02958777a499a5
Computer Networks,bad great,neutral,positive,0.0500000000000001,user870,2024-09-19,6825c0358f02958777a499a6
DBMS,interesting engaging,positive,positive,0.45,user392,2023-11-14,6825c0358f02958777a499a7
Machine Learning,feel indifferent,neutral,neutral,0.0,user498,2024-08-18,6825c0358f02958777a499a8
Machine Learning,love learning,positive,positive,0.5,user514,2024-10-03,6825c0358f02958777a499a9
DBMS,engaging,negative,positive,0.4,user510,2023-12-05,6825c0358f02958777a499aa
Data Structures,love learning,positive,positive,0.5,user304,2024-09-18,6825c0358f02958777a499ab
Machine Learning,interesting engaging,positive,positive,0.45,user366,2023-03-03,6825c0358f02958777a499ac
Data Structures,difficult,negative,negative,-0.5,user780,2024-04-22,6825c0358f02958777a499ad
Artificial Intelligence,feel indifferent,neutral,neutral,0.0,user696,2024-01-03,6825c0358f02958777a499ae
Artificial Intelligence,difficult,negative,negative,-0.5,user295,2023-09-29,6825c0358f02958777a499af
DBMS,amazing subject,positive,positive,0.21666666666666673,user938,2024-03-27,6825c0358f02958777a499b0
Data Structures,subject okay,neutral,positive,0.16666666666666669,user580,2023-10-24,6825c0358f02958777a499b1
DBMS,subject okay,neutral,positive,0.16666666666666669,user952,2023-01-23,6825c0358f02958777a499b2
Artificial Intelligence,bad great,neutral,positive,0.0500000000000001,user795,2023-09-11,6825c0358f02958777a499b3
DBMS,amazing subject,positive,positive,0.21666666666666673,user561,2023-12-13,6825c0358f02958777a499b4
Machine Learning,bad great,neutral,positive,0.0500000000000001,user292,2023-01-10,6825c0358f02958777a499b5
Computer Networks,feel indifferent,neutral,neutral,0.0,user694,2023-04-12,6825c0358f02958777a499b6
